file,label,uid
generated_images/roman_numerals/train/af4d1a66-229b-4792-b6fa-1a7f0f28c33a.png,3,af4d1a66-229b-4792-b6fa-1a7f0f28c33a
generated_images/roman_numerals/train/5bd900cf-6514-4c6d-9c25-96f53bfa265b.png,4,5bd900cf-6514-4c6d-9c25-96f53bfa265b
generated_images/roman_numerals/train/90403c56-47b0-4875-b00b-e4ec6edd9923.png,4,90403c56-47b0-4875-b00b-e4ec6edd9923
generated_images/roman_numerals/train/97c50486-0faf-4f22-bc66-64916a2d7a37.png,9,97c50486-0faf-4f22-bc66-64916a2d7a37
generated_images/roman_numerals/train/cc0d0acc-71d8-489d-80bd-0a6f9e6ab97e.png,0,cc0d0acc-71d8-489d-80bd-0a6f9e6ab97e
generated_images/roman_numerals/train/f7d54267-7012-471e-81e4-9ede2b3494f9.png,5,f7d54267-7012-471e-81e4-9ede2b3494f9
generated_images/roman_numerals/train/bd9de597-bb60-4df8-93ab-8cde8b4db921.png,1,bd9de597-bb60-4df8-93ab-8cde8b4db921
generated_images/roman_numerals/train/2902b46a-3ca3-4790-a72a-f5c088a2a538.png,0,2902b46a-3ca3-4790-a72a-f5c088a2a538
generated_images/roman_numerals/train/17dce7f8-147d-499e-b7c2-7ddcebb5e0bc.png,0,17dce7f8-147d-499e-b7c2-7ddcebb5e0bc
generated_images/roman_numerals/train/bc57bc13-2caa-4d43-ba33-a45fde7d2f19.png,1,bc57bc13-2caa-4d43-ba33-a45fde7d2f19
generated_images/roman_numerals/train/39fcb147-737e-4ecc-a8d3-180d023f18c2.png,6,39fcb147-737e-4ecc-a8d3-180d023f18c2
generated_images/roman_numerals/train/2f3344f3-27c2-44e0-8709-cf443cb86a25.png,3,2f3344f3-27c2-44e0-8709-cf443cb86a25
generated_images/roman_numerals/train/d629b1ea-110b-44ed-ad10-819362a01a0c.png,8,d629b1ea-110b-44ed-ad10-819362a01a0c
generated_images/roman_numerals/train/d21200de-82af-4822-b964-cd5385a8c9c1.png,4,d21200de-82af-4822-b964-cd5385a8c9c1
generated_images/roman_numerals/train/c72bec76-b620-447e-bb33-1da45e6c3e6c.png,4,c72bec76-b620-447e-bb33-1da45e6c3e6c
